author,year,doi,incl_author,incl_year,country,continent,region,diabetes,criteria,instrument,n_total,n_diabet,n_control,prev_diabet,prev_control,quality
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00034,Geringer,1988,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,ZSRDS,64,64,,0.188,,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00036,Kohen,1998,United Kingdom,Europe,European Region,T2DM,Not Assisted by Clinician,HADS,64,64,,0.359,,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00037,Peyrot,1999,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,CES-D,431,431,,0.408,,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00038,Bailey,1996,United State of America,North America,Region of the Americas,T1DM & T2DM,Not Assisted by Clinician,CES-D,180,180,,0.339,,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00039,Haire-Joshu,1994,United State of America,North America,Region of the Americas,T1DM & T2DM,Not Assisted by Clinician,BDI,186,186,,0.274,,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00040,Jalenques,1993,Global,Unclassified,Unclassified,T2DM,Assisted by Clinician,DSM-III,27,27,,0.222,,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00041,Padgett,1993,Croatia,Europe,European Region,T1DM & T2DM,Not Assisted by Clinician,ZSRDS,180,180,,0.605,,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00042,Lee,1996,China,Asia,Western Pacific Region,T1DM & T2DM,Assisted by Clinician,DSM-III,93,93,,0.054,,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00043,Von Dras and Lichty,1990,Global,Unclassified,Unclassified,T1DM & T2DM,Not Assisted by Clinician,ZSRDS,116,116,,0.4,,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00044,Lustman,1986,United State of America,North America,Region of the Americas,T1DM & T2DM,Assisted by Clinician,DSM-III,114,114,,0.14,,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00045,Slawson,1963,Global,Unclassified,Unclassified,T1DM & T2DM,Not Assisted by Clinician,MMPI-D,25,25,,0.36,,Medium
"Ali, S. and Stone, M. A. and Peters, J. L. and Davies, M. J. and Khunti, K.",2006,10.1111/j.1464-5491.2006.01943.x,Amato,1996,Italy,Europe,European Region,T2DM,Medical history,GDS,1339,197,1142,0.14,0.05,High
"Ali, S. and Stone, M. A. and Peters, J. L. and Davies, M. J. and Khunti, K.",2006,10.1111/j.1464-5491.2006.01943.x,Black,1999,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,CES-D,2832,636,2196,0.31,0.24,High
"Ali, S. and Stone, M. A. and Peters, J. L. and Davies, M. J. and Khunti, K.",2006,10.1111/j.1464-5491.2006.01943.x,Eaton,1996,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,DSM-III,1748,148,1600,0.06,0.04,High
"Ali, S. and Stone, M. A. and Peters, J. L. and Davies, M. J. and Khunti, K.",2006,10.1111/j.1464-5491.2006.01943.x,Gregg,2000,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,GDS,9679,682,8997,0.08,0.05,High
"Ali, S. and Stone, M. A. and Peters, J. L. and Davies, M. J. and Khunti, K.",2006,10.1111/j.1464-5491.2006.01943.x,Nichols and Brown,2003,United State of America,North America,Region of the Americas,T2DM,Assisted by Clinician,Patient notes,32360,16180,16180,0.18,0.12,High
"Ali, S. and Stone, M. A. and Peters, J. L. and Davies, M. J. and Khunti, K.",2006,10.1111/j.1464-5491.2006.01943.x,Palinkas,1991,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,BDI,1586,93,1493,0.11,0.05,High
"Ali, S. and Stone, M. A. and Peters, J. L. and Davies, M. J. and Khunti, K.",2006,10.1111/j.1464-5491.2006.01943.x,Pouwer,2003,Netherlands,Europe,European Region,T2DM,Not Assisted by Clinician,CES-D,1397,213,1184,0.17,0.09,High
"Ali, S. and Stone, M. A. and Peters, J. L. and Davies, M. J. and Khunti, K.",2006,10.1111/j.1464-5491.2006.01943.x,Saeed and Al-Dabbagh,2003,Iraq,Asia,Eastern Mediterranean Region,T2DM,Assisted by Clinician,DSM-IV,220,110,110,0.52,0.18,High
"Ali, S. and Stone, M. A. and Peters, J. L. and Davies, M. J. and Khunti, K.",2006,10.1111/j.1464-5491.2006.01943.x,Thomas,2003,United State of America,North America,Region of the Americas,T2DM,Assisted by Clinician,DIS-IV,162,58,104,0.31,0.26,High
"Ali, S. and Stone, M. A. and Peters, J. L. and Davies, M. J. and Khunti, K.",2006,10.1111/j.1464-5491.2006.01943.x,Viinamaki,1995,Finland,Europe,European Region,T2DM,Not Assisted by Clinician,ZSRDS,196,81,115,0.11,0.07,High
"Bowser, D. M. and Utz, S. and Glick, D. and Harmon, R.",2010,10.1007/s00125-010-1874-x,Katon,2004,United State of America,North America,Region of the Americas,T1DM & T2DM,Not Assisted by Clinician,PHQ-9,4385,4385,,0.12,,Medium
"Bowser, D. M. and Utz, S. and Glick, D. and Harmon, R.",2010,10.1007/s00125-010-1874-x,De Groot,2006,United State of America,North America,Region of the Americas,T1DM & T2DM,Not Assisted by Clinician,CES-D,221,221,,0.253,,Medium
"Bowser, D. M. and Utz, S. and Glick, D. and Harmon, R.",2010,10.1007/s00125-010-1874-x,Olvera,2007,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,CES-D,109,109,,0.323,,Medium
"Roy, T. and Lloyd, C. E.",2012,10.1016/S0165-0327(12)70004-6,Brown et al,2006,Canada,North America,Region of the Americas,T2DM,Assisted by Clinician,MR & prescription,88776,31635,57141,0.065,0.066,Medium
"Roy, T. and Lloyd, C. E.",2012,10.1016/S0165-0327(12)70004-6,Fisher et al,2008,United State of America,North America,Region of the Americas,T2DM,Assisted by Clinician,DSM-IV,506,506,,0.344,,Medium
"Roy, T. and Lloyd, C. E.",2012,10.1016/S0165-0327(12)70004-6,Golden et al,2008,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,CES-D,5201,5201,,0.117,0.095,Medium
"Roy, T. and Lloyd, C. E.",2012,10.1016/S0165-0327(12)70004-6,Holt et al,2009,United Kingdom,Europe,European Region,T2DM,Not Assisted by Clinician,HADS,2995,2995,,0.05,0.038,Medium
"Roy, T. and Lloyd, C. E.",2012,10.1016/S0165-0327(12)70004-6,Icks et al,2008,Germany,Europe,European Region,T2DM,Not Assisted by Clinician,CES-D,4595,4595,,0.304,0.279,Medium
"Roy, T. and Lloyd, C. E.",2012,10.1016/S0165-0327(12)70004-6,Knol et al,2007,Netherlands,Europe,European Region,T2DM,Not Assisted by Clinician,SCL-90,4747,4747,,0.297,0.194,Medium
"Roy, T. and Lloyd, C. E.",2012,10.1016/S0165-0327(12)70004-6,Lin et al,2009,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,4148,4148,,0.203,,Medium
"Roy, T. and Lloyd, C. E.",2012,10.1016/S0165-0327(12)70004-6,Paddison et al,2011,United Kingdom,Europe,European Region,T2DM,Not Assisted by Clinician,HADS,3240,3240,,0.0424,,Medium
"Roy, T. and Lloyd, C. E.",2012,10.1016/S0165-0327(12)70004-6,Pan et al,2010,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,MH,65381,65381,,0.191,,Medium
"Roy, T. and Lloyd, C. E.",2012,10.1016/S0165-0327(12)70004-6,Campayo et al,2010,Spain,Europe,European Region,T1DM&T2DM,Not Assisted by Clinician, the Getiatric state Schedule,3518,376,3142,0.066,,Medium
"Roy, T. and Lloyd, C. E.",2012,10.1016/S0165-0327(12)70004-6,Collins et al,2009,Ireland,Europe,European Region,T1DM&T2DM,Not Assisted by Clinician,HADS,1456,1456,,0.044,,Medium
"Roy, T. and Lloyd, C. E.",2012,10.1016/S0165-0327(12)70004-6,Engum,2007,Norway,Europe,European Region,T1DM&T2DM,Not Assisted by Clinician,"ADI, HADS",37291,8311,28980,0.32,,Medium
"Roy, T. and Lloyd, C. E.",2012,10.1016/S0165-0327(12)70004-6,Katon et al,2008,United State of America,North America,Region of the Americas,T1DM&T2DM,Not Assisted by Clinician,PHQ-2,10704,10704,,0.155,,Medium
"Roy, T. and Lloyd, C. E.",2012,10.1016/S0165-0327(12)70004-6,Pouwer et al,2010,Netherlands,Europe,European Region,T1DM&T2DM,Assisted by Clinician & Not Assisted by Clinician,"WHO-5, CESD, CIDI",772,772,,0.39,,Medium
"Hofmann, M. and Köhler, B. and Leichsenring, F. and Kruse, J.",2013,10.1016/j.genhosppsych.2013.01.006,Ahola et al,2012,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,CES-D,636,636,,0.3,,High
"Hofmann, M. and Köhler, B. and Leichsenring, F. and Kruse, J.",2013,10.1016/j.genhosppsych.2013.01.006,Bruce et al,2005,Australia,Australia,Western Pacific Region,T2DM,Not Assisted by Clinician,GHSQ,1273,1273,,0.32,,High
"Hofmann, M. and Köhler, B. and Leichsenring, F. and Kruse, J.",2013,10.1016/j.genhosppsych.2013.01.006,Iversen et al,2009,Norway,Europe,European Region,T1DM&T2DM,Not Assisted by Clinician,HADS-D,1494,1494,,0.17,,High
"Hofmann, M. and Köhler, B. and Leichsenring, F. and Kruse, J.",2013,10.1016/j.genhosppsych.2013.01.006,Lin et al,2009,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,4184,4184,,0.2,,High
"Hofmann, M. and Köhler, B. and Leichsenring, F. and Kruse, J.",2013,10.1016/j.genhosppsych.2013.01.006,Pan et al,2011,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,MHI-5,4873,4873,,0.21,,High
"Hofmann, M. and Köhler, B. and Leichsenring, F. and Kruse, J.",2013,10.1016/j.genhosppsych.2013.01.006,Pieper et al,2011,Germany,Europe,European Region,T2DM,Assisted by Clinician,DSQ,1141,1141,,0.14,,High
"Hofmann, M. and Köhler, B. and Leichsenring, F. and Kruse, J.",2013,10.1016/j.genhosppsych.2013.01.006,Richardson et al,2008,United State of America,North America,Region of the Americas,T2DM,Assisted by Clinician,ICD-9,14500,14500,,0.06,,High
"Hofmann, M. and Köhler, B. and Leichsenring, F. and Kruse, J.",2013,10.1016/j.genhosppsych.2013.01.006,Winkley et al,2012,United Kingdom,Europe,European Region,T1DM&T2DM,Assisted by Clinician,DSM-IV,253,253,,0.32,,High
"Rotella, F. and Mannucci, E.",2013,10.1371/journal.pone.0079809,Aarts et al,2009,Netherlands,Europe,European Region,T2DM,Assisted by Clinician,Interview,23368,5815,17553,0.02098,0.01681,Medium
"Rotella, F. and Mannucci, E.",2013,10.1371/journal.pone.0079809,Brown et al,2006,Canada,North America,Region of the Americas,T2DM,Not Assisted by Clinician,Drugs used,88776,31635,57141,0.02905,0.02826,Medium
"Rotella, F. and Mannucci, E.",2013,10.1371/journal.pone.0079809,Golden et al,2008,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,CES-D,4847,620,4227,0.12097,0.10599,Medium
"Rotella, F. and Mannucci, E.",2013,10.1371/journal.pone.0079809,Knol et al,2009,Netherlands,Europe,European Region,T2DM,Not Assisted by Clinician,Drugs used,204034,49593,154441,0.15387,0.11697,Medium
"Rotella, F. and Mannucci, E.",2013,10.1371/journal.pone.0079809,Luijendijk et al,2008,Netherlands,Europe,European Region,T2DM,Assisted by Clinician,Interview,2931,391,2540,0.04092,0.03071,Medium
"Rotella, F. and Mannucci, E.",2013,10.1371/journal.pone.0079809,O'Connor et al,2009,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,Drugs used,28288,14144,14144,0.07897,0.05501,Medium
"Rotella, F. and Mannucci, E.",2013,10.1371/journal.pone.0079809,Palinkas et al,2004,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,BDI,971,109,862,0.09174,0.12529,Medium
"Rotella, F. and Mannucci, E.",2013,10.1371/journal.pone.0079809,Pan et al,2010,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,Drugs used,56857,2691,54166,0.21516,0.12587,Medium
"Rotella, F. and Mannucci, E.",2013,10.1371/journal.pone.0079809,Polsky et al,2005,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,CES-D,8387,571,7816,0.05429,0.05706,Medium
"van Dooren, F. E. and Nefs, G. and Schram, M. T. and Verhey, F. R. and Denollet, J. and Pouwer, F.",2013,10.1371/journal.pone.0057058,Sullivan,2012,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,2053,2053,,0.31,,Medium
"van Dooren, F. E. and Nefs, G. and Schram, M. T. and Verhey, F. R. and Denollet, J. and Pouwer, F.",2013,10.1371/journal.pone.0057060,Winkley,2012,United Kingdom,Europe,European Region,T1DM & T2DM,Assisted by Clinician,WHO Criteria,253,253,,0.32,,Medium
"van Dooren, F. E. and Nefs, G. and Schram, M. T. and Verhey, F. R. and Denollet, J. and Pouwer, F.",2013,10.1371/journal.pone.0057061,Scherrer,2011,United State of America,North America,Region of the Americas,T2DM,Assisted by Clinician,ICD-9-CM,53632,53632,,0.24,,Medium
"van Dooren, F. E. and Nefs, G. and Schram, M. T. and Verhey, F. R. and Denollet, J. and Pouwer, F.",2013,10.1371/journal.pone.0057062,Pan,2011,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,MHI-5,4873,4873,,0.21,,Medium
"van Dooren, F. E. and Nefs, G. and Schram, M. T. and Verhey, F. R. and Denollet, J. and Pouwer, F.",2013,10.1371/journal.pone.0057063,Pieper,2011,Germany,Europe,European Region,T2DM,Assisted by Clinician,DSQ,1141,1141,,0.14,,Medium
"van Dooren, F. E. and Nefs, G. and Schram, M. T. and Verhey, F. R. and Denollet, J. and Pouwer, F.",2013,10.1371/journal.pone.0057064,Iversen,2009,Norway,Europe,European Region,T1DM & T2DM,Not Assisted by Clinician,HADS-D,1494,1494,,0.17,,Medium
"van Dooren, F. E. and Nefs, G. and Schram, M. T. and Verhey, F. R. and Denollet, J. and Pouwer, F.",2013,10.1371/journal.pone.0057065,Lin,2010,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,4184,4184,,0.2,,Medium
"van Dooren, F. E. and Nefs, G. and Schram, M. T. and Verhey, F. R. and Denollet, J. and Pouwer, F.",2013,10.1371/journal.pone.0057066,Katon,2008,United State of America,North America,Region of the Americas,T1DM & T2DM,Assisted by Clinician,ICD-9,10704,10704,,0.15,,Medium
"van Dooren, F. E. and Nefs, G. and Schram, M. T. and Verhey, F. R. and Denollet, J. and Pouwer, F.",2013,10.1371/journal.pone.0057067,Richardson,2008,United State of America,North America,Region of the Americas,T2DM,Assisted by Clinician,ICD-9,14500,14500,,0.06,,Medium
"van Dooren, F. E. and Nefs, G. and Schram, M. T. and Verhey, F. R. and Denollet, J. and Pouwer, F.",2013,10.1371/journal.pone.0057068,Bruce,2005,Australia,Australia,Western Pacific Region,T2DM,Assisted by Clinician,GHS,1273,1273,,0.32,,Medium
"van Dooren, F. E. and Nefs, G. and Schram, M. T. and Verhey, F. R. and Denollet, J. and Pouwer, F.",2013,10.1371/journal.pone.0057069,Egede,2005,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,CES-D,715,715,,0.37,,Medium
"van Dooren, F. E. and Nefs, G. and Schram, M. T. and Verhey, F. R. and Denollet, J. and Pouwer, F.",2013,10.1371/journal.pone.0057070,Kuo,2004,United State of America,North America,Region of the Americas,T1DM & T2DM,Not Assisted by Clinician,Unstandardized questionnaire,8949,8949,,0.21,,Medium
"van Dooren, F. E. and Nefs, G. and Schram, M. T. and Verhey, F. R. and Denollet, J. and Pouwer, F.",2013,10.1371/journal.pone.0057071,Black,2003,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,CES-D,636,636,,0.3,,Medium
"van Dooren, F. E. and Nefs, G. and Schram, M. T. and Verhey, F. R. and Denollet, J. and Pouwer, F.",2013,10.1371/journal.pone.0057072,Rosenthal,1998,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,Yesavage GDS,135,135,,0.33,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.004,Akinlade,1996,Nigeria,Africa,African Region,T2DM,Not Assisted by Clinician,HAD,46,46,,0.152,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.005,Mosaku,2008,Nigeria,Africa,African Region,T2DM,Not Assisted by Clinician,ZSDS,80,80,,0.2,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.006,Agbir,2010,Nigeria,Africa,African Region,T2DM,Assisted by Clinician,DSM-IV,160,160,,0.194,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.007,James,2010,Nigeria,Africa,African Region,T2DM,Assisted by Clinician,WHO Criteria,200,200,,0.3,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.008,Kagee,2008,South Africa,Africa,African Region,T2DM,Not Assisted by Clinician,BDI-II,119,119,,0.459,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.009,Asghar,2007,Bangladesh,Asia,South-East Asian Region,T2DM,Assisted by Clinician,MADRS,184,184,,0.297,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.010,Rahman,2012,Bangladesh,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,CES-D,178,178,,0.348,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.011,Roy,2012,Bangladesh,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,417,417,,0.34,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.012,Xu,2004,China,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,ZSDS,222,222,,0.23,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.013,Zhang,2009,China,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,HADS,304,304,,0.257,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.014,Yang and Zheng,2009,China,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,ZSDS,148,148,,0.392,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.015,Yu,2010,China,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,SDS,100,100,,0.28,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.016,Raval,2010,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,300,300,,0.41,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.017,Solanki,2009,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,BDI-II,50,50,,0.36,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.018,Chaudhry,2010,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,HDRS,100,100,,0.84,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.019,Poongothai,2010,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-12,1218,1218,,0.197,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.020,Poongothai,2011,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-12,847,847,,0.234,,Medium
